Qty;Value;Device;Package;Parts;Comment;Description
6;100nF;C-EUC0805;C0805;C1, C2, C3, C4, C5, C6;;CAPACITOR, European symbol
1;10uF;C-EUC0805;C0805;C7;;CAPACITOR, European symbol
1;22uF;C-EUC0805;C0805;C8;;CAPACITOR, European symbol
2;1N4148;DIODE-SOD80C;SOD80C;D1, D2;;DIODE
1;ESP32-DEVKITC-32U;ESP32-DEVKITC-32U;MODULE_ESP32-DEVKITC-32U;IC1;;ESP32-DEVKITC Check prices
1;THT433MHZ1W;THT433MHZ1W;E32M1000;IC2;;
1;TLV62585PDRLR;TLV62585PDRLR;SOT563;IC3;;
1;1uH;L-USL5650M;L5650M;L1;;INDUCTOR, American symbol
4;;LEDCHIPLED_0805;CHIPLED_0805;LED1, LED2, LED3, LED4;Blue;LED
1;3V3 OK;LEDCHIPLED_0805;CHIPLED_0805;LED5;Red;LED
1;PDTC114EU;BC846ASMD;SOT23;Q1;;NPN Transistor
1;4.7k;R-EU_R0805;R0805;R1;;RESISTOR, European symbol
1;453k;R-EU_R0805;R0805;R10;;RESISTOR, European symbol
3;10k;R-EU_R0805;R0805;R2, R6, R7;;RESISTOR, European symbol
2;1k;R-EU_R0805;R0805;R3, R11;;RESISTOR, European symbol
2;330R;R-EU_R0805;R0805;R4, R5;;RESISTOR, European symbol
1;1M;R-EU_R0805;R0805;R8;;RESISTOR, European symbol
1;100k;R-EU_R0805;R0805;R9;;RESISTOR, European symbol
1;F/CM12P;F/CM12P;F/CM12P;SG1;;BUZZER Source: Buerklin
